Speed,Viscosity,Flowrate,Head
3000.0,107.0,1315.496,40.5625
2400.0,105.0,900.357,26.1623
3000.0,130.0,2299.911,32.8414
3500.0,25.0,3542.176,39.9765
3500.0,240.0,2845.086,40.1135
3500.0,105.0,2902.817,43.4227
3000.0,520.0,1652.53,31.4263
3000.0,105.0,2570.904,30.4035
3500.0,130.0,3578.773,33.9226
1800.0,25.0,683.885,15.7544
2400.0,130.0,756.397,26.8033
3500.0,105.0,2923.819,43.735
2400.0,25.0,1579.777,24.7368
1800.0,90.0,1770.445,9.0656
3000.0,520.0,2698.961,21.9584
3000.0,380.0,949.298,37.5783
3500.0,105.0,3540.957,35.9311
1800.0,107.0,1554.136,10.0497
3500.0,105.0,2264.637,49.7619
3000.0,380.0,2652.762,23.7512
3000.0,250.0,1287.565,37.8597
3000.0,380.0,1660.814,33.236
3500.0,120.0,3772.09,32.4625
3000.0,25.0,1713.817,41.1942
2400.0,63.0,1186.806,25.7124
2400.0,25.0,1347.37,26.3868
2400.0,85.0,1503.015,23.4986
3500.0,250.0,1006.169,55.5615
2400.0,90.0,1361.71,24.7154
3000.0,170.0,1496.806,37.8792
2400.0,380.0,747.577,24.0606
3500.0,63.0,1651.345,57.0727
3500.0,25.0,3575.914,39.3933
3000.0,250.0,1033.154,40.2373
3500.0,25.0,2849.859,48.4096
1800.0,85.0,1024.021,13.1838
2400.0,105.0,1818.328,20.7321
3500.0,380.0,3279.483,31.5746
1800.0,25.0,1934.492,9.5305
3000.0,240.0,3262.517,20.0409
1800.0,120.0,1733.814,8.8014
3000.0,130.0,1282.369,40.736
3000.0,85.0,765.029,44.7191
1800.0,520.0,1948.489,5.1325
3500.0,25.0,3774.858,37.1339
3500.0,380.0,3903.869,24.6069
1800.0,105.0,539.251,15.1568
2400.0,170.0,1993.432,18.1987
1800.0,380.0,1667.37,7.2211
2400.0,240.0,644.693,25.7614
2400.0,170.0,2436.88,14.7741
2400.0,90.0,752.338,27.7562
1800.0,520.0,701.31,11.5282
